nama,rating,tanggal,ulasan,nama_hotel,kota
Ardie U.,5.8,06 Mar 2023,Check in dapat kamar yang tidak terawat dan kamarnya bau. Kemudian diupgrade tapi kamar tetap masih tidak terawat. Too bad saya mau minta shortened stay tidak bisa karena bookingan non-refundable meskipun kamar yang diberikan tidak sesuai dengan apa yang ditampilkan pada foto. Shortened tidak akan di refund due to the policy meskipun kamarnya sangat upsetting. What a shame untuk property yang di manage oleh nama besar Wyndham. Pros: Duty manager sangat membantu.,wyndham garden kuta beach bali,Bali
Pepi S. B.,8.5,06 Mar 2023,Parkir nya rada-rada susah kalau bawa mobil sendiri.,wyndham garden kuta beach bali,Bali
Yopana K.,6,04 Mar 2023,"Lobby biasa aja, tembok luar kamar udah kaya losmen (kos-kosan) jelek banget, lift cuma 1 yang berfungsi yang 1 lagi rusak, fasilitas kurang untuk hotel bintang 4, menu makan setiap hari sama jenisnya dan rasanya kurang enak. Pokoknya ga sepadan dengan title hotel bintang 4.",wyndham garden kuta beach bali,Bali
Ngadimin N.,6,02 Mar 2023,"Sudah sudah boking melalui aplikasi. Ternyata dalm aplikasi tidak mengakomodir tentang sarapan. Oke saya terima dan salah saya dalam me input. Hari pertama saya membayar uang sarapan selama 3 hari kepada petugas yang menjaga di depan restorant. Hari kedua saya sarapan seperti yang yang lain. Tapi hari yang ke tiga saya di tagih pada saat saya lagi sarapan dan di depan umum bahwa saya tidak mendapat jatah sarapan. Saya sampaikan kalau saya sudah bayar sarapan selama 3 hari. Setelah di komunikasikan baru petugas di maksud mempersilahkan. Yang saya koreksi: 1. Sebelum bertanya kenapa petugas dimaksudtdk me ngecek dulu. 2. Kondisi saat mengingatkan kepada saya kenapa kok pas saya lagi makan di depan umum ya, apa ga bisa di tunda sebentar.",wyndham garden kuta beach bali,Bali
Made M. R. P.,6,02 Mar 2023,Padahal ud request 1 ranjang besar tp dikasinya twin. Males complain karena ud badmood. Breakfast ga ada yang enak. Tp kolam sunsetnya y bagus keren.,wyndham garden kuta beach bali,Bali
Siti N. C.,10,27 Feb 2023,,wyndham garden kuta beach bali,Bali
nanda h.,6,27 Feb 2023,"Furniture tua, pintu balcony bunyi-bunyi, fasilitas kamar tidak memuaskan.",wyndham garden kuta beach bali,Bali
regita u. r.,8.7,20 Feb 2023,Kloset bau dan bocor sehingga kurang nyaman.,wyndham garden kuta beach bali,Bali
Yuyun S.,10,19 Feb 2023,"Cukup puas selama menginap, dapat check in lebih awal dan cepat. Terus dapat upgrade kamar juga yang view pool dan Pantai Kkuta depan. Sip lah pokoknya. Serasa kolam renang pribadi. Kemana-mana dekat, tinggal jalan kaki.",wyndham garden kuta beach bali,Bali
Kalpani,8.5,12 Sep 2022,Good location to stay. Thanks for service.,wyndham garden kuta beach bali,Bali
Christian S.,9.7,11 Aug 2022,Good location. Good price. Nice view.,wyndham garden kuta beach bali,Bali
Eneng L. S. D.,6.2,14 Jul 2022,"The room was OK good but they gave the very back room with view of wall cars bike passing area noisy and next room is the door for of tools equipment so annoying and I lost my glasses there too, to much people in front desk the assistant with not much helpiull, not very interesting t stay more.",wyndham garden kuta beach bali,Bali
Susanto S.,6,27 Jun 2022,"AC was not cold enough at first until they move us to other room. Room was old, very different from the photos that I saw.",wyndham garden kuta beach bali,Bali
Rini H. M.,5.4,06 May 2022,"Service is not good, we asked for a spoon; the answer is: sorry no spoon. I guess that we would never expected from a hotel ya. And the picture of the hotel is somewhat outdated (It's different). Please update your photo 🙏🏻",wyndham garden kuta beach bali,Bali
Wahyua 8.,9.7,06 Mar 2022,,wyndham garden kuta beach bali,Bali
wennda p.,9.4,Profil ini privat.,"The view of the room balcony is facing directly to Kuta beach but the Kuta area is still very quiet because of this pandemic, I am quite sad to see it so that the situation of many hotels is also quiet, hopefully it can return to normal and the Kuta area can be visited by tourists again",wyndham garden kuta beach bali,Bali
Tiara D.,10,20 Dec 2020,,wyndham garden kuta beach bali,Bali
kirby b.,9.7,05 Sep 2020,"Can’t complain. Room, staff, foods are awesome!",wyndham garden kuta beach bali,Bali
Kalpani,8.5,12 Sep 2022,Good location to stay. Thanks for service.,wyndham garden kuta beach bali,Bali
Christian S.,9.7,11 Aug 2022,Good location. Good price. Nice view.,wyndham garden kuta beach bali,Bali
Eneng L. S. D.,6.2,14 Jul 2022,"The room was OK good but they gave the very back room with view of wall cars bike passing area noisy and next room is the door for of tools equipment so annoying and I lost my glasses there too, to much people in front desk the assistant with not much helpiull, not very interesting t stay more.",wyndham garden kuta beach bali,Bali
Susanto S.,6,27 Jun 2022,"AC was not cold enough at first until they move us to other room. Room was old, very different from the photos that I saw.",wyndham garden kuta beach bali,Bali
Rini H. M.,5.4,06 May 2022,"Service is not good, we asked for a spoon; the answer is: sorry no spoon. I guess that we would never expected from a hotel ya. And the picture of the hotel is somewhat outdated (It's different). Please update your photo 🙏🏻",wyndham garden kuta beach bali,Bali
Wahyua 8.,9.7,06 Mar 2022,,wyndham garden kuta beach bali,Bali
wennda p.,9.4,Profil ini privat.,"The view of the room balcony is facing directly to Kuta beach but the Kuta area is still very quiet because of this pandemic, I am quite sad to see it so that the situation of many hotels is also quiet, hopefully it can return to normal and the Kuta area can be visited by tourists again",wyndham garden kuta beach bali,Bali
Tiara D.,10,20 Dec 2020,,wyndham garden kuta beach bali,Bali
kirby b.,9.7,05 Sep 2020,"Can’t complain. Room, staff, foods are awesome!",wyndham garden kuta beach bali,Bali
Nanci L. S.,6.3,05 Feb 2020,"This hotel has a good location, but their room was not as good. Hope they can renovation next time.",wyndham garden kuta beach bali,Bali
Edi P.,8.5,23 Jan 2020,,wyndham garden kuta beach bali,Bali
Bukseisa A. I. G. A.,9.7,21 Jan 2020,"perfect location, it is very near with the beach. staff was helpful,room was clean and big.",wyndham garden kuta beach bali,Bali
Andrianta K.,8.5,16 Jan 2020,Wonderful experience. Hotel just located in front of kuta beach. My 4 year old son really love it.,wyndham garden kuta beach bali,Bali
Tegoeh B. S.,5.2,04 Jan 2020,Room is dirty and smell bad from the bathroom make the room smell like public toilet. Towel smell very bed as well. Front office staff is not friendly.,wyndham garden kuta beach bali,Bali
Mohammad C. E.,9.1,27 Dec 2019,Everything was good except they use sea water for the bathroom so don't ever brush your teeth with the water from the tap,wyndham garden kuta beach bali,Bali
Ratu E.,4.9,23 Dec 2019,"Bad service, bad facility. The bidet was broken, and the water feels salty. The breakfast was awful and you cannot enjoy the hotel since it was under construction. Dust everywhere :(",wyndham garden kuta beach bali,Bali
Indra W.,5.4,09 Dec 2019,"Bad service, breakfast not delicious..all crew hotel bad..",wyndham garden kuta beach bali,Bali
Nur A. S.,6,20 Nov 2019,"When check in at 16.45 local time, room dusty with cement. I clean floor and bed before sleep. Hope more better after finish construction",wyndham garden kuta beach bali,Bali
Nanci L. S.,6.3,05 Feb 2020,"This hotel has a good location, but their room was not as good. Hope they can renovation next time.",wyndham garden kuta beach bali,Bali
Edi P.,8.5,23 Jan 2020,,wyndham garden kuta beach bali,Bali
Bukseisa A. I. G. A.,9.7,21 Jan 2020,"perfect location, it is very near with the beach. staff was helpful,room was clean and big.",wyndham garden kuta beach bali,Bali
Andrianta K.,8.5,16 Jan 2020,Wonderful experience. Hotel just located in front of kuta beach. My 4 year old son really love it.,wyndham garden kuta beach bali,Bali
Tegoeh B. S.,5.2,04 Jan 2020,Room is dirty and smell bad from the bathroom make the room smell like public toilet. Towel smell very bed as well. Front office staff is not friendly.,wyndham garden kuta beach bali,Bali
Mohammad C. E.,9.1,27 Dec 2019,Everything was good except they use sea water for the bathroom so don't ever brush your teeth with the water from the tap,wyndham garden kuta beach bali,Bali
Ratu E.,4.9,23 Dec 2019,"Bad service, bad facility. The bidet was broken, and the water feels salty. The breakfast was awful and you cannot enjoy the hotel since it was under construction. Dust everywhere :(",wyndham garden kuta beach bali,Bali
Indra W.,5.4,09 Dec 2019,"Bad service, breakfast not delicious..all crew hotel bad..",wyndham garden kuta beach bali,Bali
Nur A. S.,6,20 Nov 2019,"When check in at 16.45 local time, room dusty with cement. I clean floor and bed before sleep. Hope more better after finish construction",wyndham garden kuta beach bali,Bali
Guest,6,01 Nov 2019,"Great location, but the hotel is under renovation, it was noisy, dusty, and worst it was smelly (odor from the bathroom). It would have been decent to inform guests (while booking online) that the hotel is under renovation, so one can decide in all fairness. I felt cheated, price did definitely not meet quality/ expectation, not planning to go back again this lifetime.",wyndham garden kuta beach bali,Bali
Azwin M. P. L.,6,14 Oct 2019,it's difficult to flush the wc/water closet.,wyndham garden kuta beach bali,Bali
firdaus a.,9.4,23 Sep 2019,it is not a hotel! it is a home away from home! everyone who works there made you feel like home. they are pampering you. taking the best care of you and most of all they knew what you need before even asking. do not missed the weekend bbq party! you will not believe what you will see. I will not write it here! find out yourself and enjoy it to the end!,wyndham garden kuta beach bali,Bali
Andri W.,10,30 Aug 2019,Located is closed to everywhere.very closed to kuta beach,wyndham garden kuta beach bali,Bali
firdaus a.,9.4,08 Aug 2019,D*mn*d great hotel! Great staffs! Great food! Great location! The best to enjoy,wyndham garden kuta beach bali,Bali
Debe C.,6.3,27 Jul 2019,Was not advised that renovations are underway. Construction noise 9 am to 10 pm. Whole propperty is a bit grotty. Lovely spa happy hour package with good massage but spa bathroom needs repair. Staff is excellent. Rooms are nice. Bathrooms need a good mildew scrub. Didn’t eat there so can’t comment.,wyndham garden kuta beach bali,Bali
Tri B. S.,4.9,Profil ini privat.,"very unfriendly service, no smile and very slow service. very disappointed, 4 star class but the service was very unfriendly",wyndham garden kuta beach bali,Bali
Hamzah B.,5.1,30 Jun 2019,"The bathroom really stinky and dirty. Even the sanitary is not good. Many broken things inside the room such as lamp, wardrobe. The air is polluted due to the construction progress downstairs. I'm not recommending this hotel to anyone who find joyful in kuta",wyndham garden kuta beach bali,Bali
Nurul A. N.,5.5,27 Jun 2019,"We booked this hotel, simply because of the location, in front of the beach area and other hotels we wanted to stay in were fully booked and only this hotel was available. I think the hotel needs more attention from the management. Most staff were not well trained. i.e: Security at the front, they saw that we have challenged with luggage and he was just standing still watching, instead of giving a hand. Front Office was so so. We requested to have extra pillows as the pillows were very thin and there were only 2 in the room. It was taking too long only for them saying yes after we said will pay for it. The rooms looked tired and not well maintained, Restaurant for breakfast opened at 6 am however the waiter/ess started to work at 6.30. Only night shift in charge with a sleepy face and unfriendly, there was no one to ask for help, no cutleries, incomplete foods, no one in egg stall. the food taste and variation were awful.",wyndham garden kuta beach bali,Bali
Guest,6,01 Nov 2019,"Great location, but the hotel is under renovation, it was noisy, dusty, and worst it was smelly (odor from the bathroom). It would have been decent to inform guests (while booking online) that the hotel is under renovation, so one can decide in all fairness. I felt cheated, price did definitely not meet quality/ expectation, not planning to go back again this lifetime.",wyndham garden kuta beach bali,Bali
Azwin M. P. L.,6,14 Oct 2019,it's difficult to flush the wc/water closet.,wyndham garden kuta beach bali,Bali
firdaus a.,9.4,23 Sep 2019,it is not a hotel! it is a home away from home! everyone who works there made you feel like home. they are pampering you. taking the best care of you and most of all they knew what you need before even asking. do not missed the weekend bbq party! you will not believe what you will see. I will not write it here! find out yourself and enjoy it to the end!,wyndham garden kuta beach bali,Bali
Andri W.,10,30 Aug 2019,Located is closed to everywhere.very closed to kuta beach,wyndham garden kuta beach bali,Bali
firdaus a.,9.4,08 Aug 2019,D*mn*d great hotel! Great staffs! Great food! Great location! The best to enjoy,wyndham garden kuta beach bali,Bali
Debe C.,6.3,27 Jul 2019,Was not advised that renovations are underway. Construction noise 9 am to 10 pm. Whole propperty is a bit grotty. Lovely spa happy hour package with good massage but spa bathroom needs repair. Staff is excellent. Rooms are nice. Bathrooms need a good mildew scrub. Didn’t eat there so can’t comment.,wyndham garden kuta beach bali,Bali
Tri B. S.,4.9,Profil ini privat.,"very unfriendly service, no smile and very slow service. very disappointed, 4 star class but the service was very unfriendly",wyndham garden kuta beach bali,Bali
Hamzah B.,5.1,30 Jun 2019,"The bathroom really stinky and dirty. Even the sanitary is not good. Many broken things inside the room such as lamp, wardrobe. The air is polluted due to the construction progress downstairs. I'm not recommending this hotel to anyone who find joyful in kuta",wyndham garden kuta beach bali,Bali
Nurul A. N.,5.5,27 Jun 2019,"We booked this hotel, simply because of the location, in front of the beach area and other hotels we wanted to stay in were fully booked and only this hotel was available. I think the hotel needs more attention from the management. Most staff were not well trained. i.e: Security at the front, they saw that we have challenged with luggage and he was just standing still watching, instead of giving a hand. Front Office was so so. We requested to have extra pillows as the pillows were very thin and there were only 2 in the room. It was taking too long only for them saying yes after we said will pay for it. The rooms looked tired and not well maintained, Restaurant for breakfast opened at 6 am however the waiter/ess started to work at 6.30. Only night shift in charge with a sleepy face and unfriendly, there was no one to ask for help, no cutleries, incomplete foods, no one in egg stall. the food taste and variation were awful.",wyndham garden kuta beach bali,Bali
Liem A. S.,5.6,10 Jun 2019,"Breakfast meju is not good, also the hotel is under renovation so noisy. And the room is too small.",wyndham garden kuta beach bali,Bali
Ribka P.,5.5,25 May 2019,I don't recommended this hotel if you stay with kids. The floor is very dirty & also the bathroom.,wyndham garden kuta beach bali,Bali
Wahyu N. F.,6.2,24 Apr 2019,1. It took a long time for check in 2. it took a long time (slow response) to fix the room curtain,wyndham garden kuta beach bali,Bali
Mulchand a. M.,5.9,23 Apr 2019,"The water is very dirty. Service is poor, 3AM people next door were making too much noise. 4AM we called the reception several time before they pick up the call. Even after complaining, next door were still very noisy till 5AM in the morning. We called reception several time and nobody pick up the phone.",wyndham garden kuta beach bali,Bali
Firmansyah I.,9.7,21 Apr 2019,,wyndham garden kuta beach bali,Bali
Putri F.,8.6,Profil ini privat.,"We're a group of 10 going in a holiday together. We booked 5 executive seaview rooms. Stays in the best class of this hotel rooms, our impressions are : 1. Our room was spacious, but dirty, dark/poor lighting..even one of bathroom in my friend's room is cannot turn on. My friend already called the reception several times and they promises to send an electrician but it never came until day 3 😅😅 The floor is so dirty if you didn't wear slippers on the room your foot will turn into black. Yes, I mean it. It is that dirty. 2. The staff is so slow and lack of responses. I already mention in 1st comment that the electrician never came into my friend's room, so is what happen in my room. One of the door that connected my room with the pool cannot open. I asked the bell boy to called someone to fix it since the second I came into the room, but they never show. I already remind them by phone, but same result, they never came. It also took forever for us to ask something. My husband called housekeeping for sajadah, it came after 3 calls and an almost an hour later 😅 My friend also called for plates, same result, it came after 3 phone calls and 35 minutes later. FYI, our room is in the second floor, right above the lobby and restaurant 😂😂 3. They put the 'forbidden to swim' sign in the pool in the afternoon (start 5 p.m) and in the morning. What??? Then why the hell we paid for executive pool and sea view room if we cannot swim?? The make excuse it's because the pool is right above the dinner area so they afraid it will bother other guest. Ok, I accept that reason, but they still put the sign until 7 a.m when my kids started cranky asking for swim After I protest and angry to reception (and for sure, 3 phone calls) they took that sign. 4. The breakfast and location is might be the only highlights of this hotel. In this area, this hotel offer a reasonably price. It only 1km and 15 minutes walk to Kuta Beach Walk and so is Legian Street. They change various of breakfast menu everyday although the taste was western standard a.k.a less spicey for indonesian like us.",wyndham garden kuta beach bali,Bali
Tri W.,8.5,30 Mar 2019,,wyndham garden kuta beach bali,Bali
Amelia H.,6.1,23 Mar 2019,"The hotel has a very good location. But it is a very old facility. They are renovating a few of the wings, but was not really mindful of the time. The work was still going on a little bit passed 9pm which made it difficult for our kids to sleep. However, the staff were friendly.",wyndham garden kuta beach bali,Bali
Hendra L. N.,6.4,23 Mar 2019,"I just don't think the hotel deserve 4 stars. The hotel is currently under renovation. The pool was very small. Room was average, bathroom amenities very basic. They only provide body towel, no hair towel, bath robe etc. Breakfast option were very little, coffee machine broke down and the didn't do anything about it while they have two coffee machine in their cafe. At most, i’d give the hotel 3 stars, but definitely not 4 stars.",wyndham garden kuta beach bali,Bali
Liem A. S.,5.6,10 Jun 2019,"Breakfast meju is not good, also the hotel is under renovation so noisy. And the room is too small.",wyndham garden kuta beach bali,Bali
Ribka P.,5.5,25 May 2019,I don't recommended this hotel if you stay with kids. The floor is very dirty & also the bathroom.,wyndham garden kuta beach bali,Bali
Wahyu N. F.,6.2,24 Apr 2019,1. It took a long time for check in 2. it took a long time (slow response) to fix the room curtain,wyndham garden kuta beach bali,Bali
Mulchand a. M.,5.9,23 Apr 2019,"The water is very dirty. Service is poor, 3AM people next door were making too much noise. 4AM we called the reception several time before they pick up the call. Even after complaining, next door were still very noisy till 5AM in the morning. We called reception several time and nobody pick up the phone.",wyndham garden kuta beach bali,Bali
Firmansyah I.,9.7,21 Apr 2019,,wyndham garden kuta beach bali,Bali
Putri F.,8.6,Profil ini privat.,"We're a group of 10 going in a holiday together. We booked 5 executive seaview rooms. Stays in the best class of this hotel rooms, our impressions are : 1. Our room was spacious, but dirty, dark/poor lighting..even one of bathroom in my friend's room is cannot turn on. My friend already called the reception several times and they promises to send an electrician but it never came until day 3 😅😅 The floor is so dirty if you didn't wear slippers on the room your foot will turn into black. Yes, I mean it. It is that dirty. 2. The staff is so slow and lack of responses. I already mention in 1st comment that the electrician never came into my friend's room, so is what happen in my room. One of the door that connected my room with the pool cannot open. I asked the bell boy to called someone to fix it since the second I came into the room, but they never show. I already remind them by phone, but same result, they never came. It also took forever for us to ask something. My husband called housekeeping for sajadah, it came after 3 calls and an almost an hour later 😅 My friend also called for plates, same result, it came after 3 phone calls and 35 minutes later. FYI, our room is in the second floor, right above the lobby and restaurant 😂😂 3. They put the 'forbidden to swim' sign in the pool in the afternoon (start 5 p.m) and in the morning. What??? Then why the hell we paid for executive pool and sea view room if we cannot swim?? The make excuse it's because the pool is right above the dinner area so they afraid it will bother other guest. Ok, I accept that reason, but they still put the sign until 7 a.m when my kids started cranky asking for swim After I protest and angry to reception (and for sure, 3 phone calls) they took that sign. 4. The breakfast and location is might be the only highlights of this hotel. In this area, this hotel offer a reasonably price. It only 1km and 15 minutes walk to Kuta Beach Walk and so is Legian Street. They change various of breakfast menu everyday although the taste was western standard a.k.a less spicey for indonesian like us.",wyndham garden kuta beach bali,Bali
Tri W.,8.5,30 Mar 2019,,wyndham garden kuta beach bali,Bali
Amelia H.,6.1,23 Mar 2019,"The hotel has a very good location. But it is a very old facility. They are renovating a few of the wings, but was not really mindful of the time. The work was still going on a little bit passed 9pm which made it difficult for our kids to sleep. However, the staff were friendly.",wyndham garden kuta beach bali,Bali
Hendra L. N.,6.4,23 Mar 2019,"I just don't think the hotel deserve 4 stars. The hotel is currently under renovation. The pool was very small. Room was average, bathroom amenities very basic. They only provide body towel, no hair towel, bath robe etc. Breakfast option were very little, coffee machine broke down and the didn't do anything about it while they have two coffee machine in their cafe. At most, i’d give the hotel 3 stars, but definitely not 4 stars.",wyndham garden kuta beach bali,Bali
Arief T. H.,9.7,06 Mar 2019,"We stay two days in executive pool access so we can see the kuta beach directly from the pool/room. But its blocked by cafe tent and the tree. But we had a good ambient, helpful staff and clean room even the water a bit salty when we take shower.",wyndham garden kuta beach bali,Bali
Ivant C.,6.3,23 Feb 2019,"The whole experience was not so pleasant, there’s this construction activity next to the hotel that woke me up in the morning due to the noise. Rooms are segregated with dry partition walls, a long dark corridor from the main entrance to the lift core to access the rooms level. Basically overall experience was not great at all. However, the staffs’ service was amazingly warm and satisfying. I think the materials and paint colour chosen were not giving a pleasant ambience.",wyndham garden kuta beach bali,Bali
Denny Y.,8.8,09 Feb 2019,"This hotel have a great location. But some room need little improvement. I got bathroom with slippery floor. The room next to me, had a problem with the door. Staff is super friendly and helpful.",wyndham garden kuta beach bali,Bali
Caesar A. c.,6,Profil ini privat.,"The photos in app is not picturing the real situation, it's like photos from new hotel but the reality the hotel is old",wyndham garden kuta beach bali,Bali
Caesar A. c.,5.8,Profil ini privat.,"old building, not same at all as the picture provided in the web",wyndham garden kuta beach bali,Bali
Semuil E.,5.1,05 Feb 2019,"First, the parking is terrible, it is behind the hotel through a small alley which if you miss, it takes 30 minutes to get back to this point. Nobody is at the front to guide you, we must park on the pedestrian to walk in to ask question. The room is not clean, the tower has been worn for years, looks old.The water is salty! It is only possible if they use water from a well . The ocean is just in front of the hotel. The breakfast is not appetizing. we ordered food from outside delivered to the hotel. I travel all year round for business and holidays. over the years, this is the worst.",wyndham garden kuta beach bali,Bali
Kevin G.,5.5,21 Jan 2019,"1st room, when we opened the room door there was water till the bed due to the leakage from the toilet, 2nd room we entered aircon was bot working at all...and then the manager did not offer us a room instead want to refund my money and it was late night... very unprofessional... than one lady who was only a receptionist offered us an upgrade to the pool access and it was nice...a note for the manager..find a perfect solution for your clients not refund money and take the such an unprofessional action!!! thanks to mba ayu for attending to us properly...and made my trip with my mom perfect....",wyndham garden kuta beach bali,Bali
Corry I. H.,9.4,20 Jan 2019,good location & helpful staffs...also near convenience store & miniso...nice bed... some improvements can be done for cleanliness under the bed before the guest come or during daily routine cleaning..,wyndham garden kuta beach bali,Bali
Bambang B.,5.9,13 Jan 2019,"they give us the room not as per my booking, until I spoke with manager on duty, then it was clear. shower didn't work well in my 2 rooms.",wyndham garden kuta beach bali,Bali
Arief T. H.,9.7,06 Mar 2019,"We stay two days in executive pool access so we can see the kuta beach directly from the pool/room. But its blocked by cafe tent and the tree. But we had a good ambient, helpful staff and clean room even the water a bit salty when we take shower.",wyndham garden kuta beach bali,Bali
Ivant C.,6.3,23 Feb 2019,"The whole experience was not so pleasant, there’s this construction activity next to the hotel that woke me up in the morning due to the noise. Rooms are segregated with dry partition walls, a long dark corridor from the main entrance to the lift core to access the rooms level. Basically overall experience was not great at all. However, the staffs’ service was amazingly warm and satisfying. I think the materials and paint colour chosen were not giving a pleasant ambience.",wyndham garden kuta beach bali,Bali
Denny Y.,8.8,09 Feb 2019,"This hotel have a great location. But some room need little improvement. I got bathroom with slippery floor. The room next to me, had a problem with the door. Staff is super friendly and helpful.",wyndham garden kuta beach bali,Bali
Caesar A. c.,6,Profil ini privat.,"The photos in app is not picturing the real situation, it's like photos from new hotel but the reality the hotel is old",wyndham garden kuta beach bali,Bali
Caesar A. c.,5.8,Profil ini privat.,"old building, not same at all as the picture provided in the web",wyndham garden kuta beach bali,Bali
Semuil E.,5.1,05 Feb 2019,"First, the parking is terrible, it is behind the hotel through a small alley which if you miss, it takes 30 minutes to get back to this point. Nobody is at the front to guide you, we must park on the pedestrian to walk in to ask question. The room is not clean, the tower has been worn for years, looks old.The water is salty! It is only possible if they use water from a well . The ocean is just in front of the hotel. The breakfast is not appetizing. we ordered food from outside delivered to the hotel. I travel all year round for business and holidays. over the years, this is the worst.",wyndham garden kuta beach bali,Bali
Kevin G.,5.5,21 Jan 2019,"1st room, when we opened the room door there was water till the bed due to the leakage from the toilet, 2nd room we entered aircon was bot working at all...and then the manager did not offer us a room instead want to refund my money and it was late night... very unprofessional... than one lady who was only a receptionist offered us an upgrade to the pool access and it was nice...a note for the manager..find a perfect solution for your clients not refund money and take the such an unprofessional action!!! thanks to mba ayu for attending to us properly...and made my trip with my mom perfect....",wyndham garden kuta beach bali,Bali
Corry I. H.,9.4,20 Jan 2019,good location & helpful staffs...also near convenience store & miniso...nice bed... some improvements can be done for cleanliness under the bed before the guest come or during daily routine cleaning..,wyndham garden kuta beach bali,Bali
Bambang B.,5.9,13 Jan 2019,"they give us the room not as per my booking, until I spoke with manager on duty, then it was clear. shower didn't work well in my 2 rooms.",wyndham garden kuta beach bali,Bali
Jimmy f.,8.5,11 Jan 2019,,wyndham garden kuta beach bali,Bali
Elvira R. I. M.,6.5,Profil ini privat.,"Doesn’t feel like 4 star hotel, slow response staff, disappointing room.",wyndham garden kuta beach bali,Bali
Lupita A.,8.5,07 Jan 2019,,wyndham garden kuta beach bali,Bali
Andrew S.,8.5,07 Jan 2019,Good service from hotel staff.,wyndham garden kuta beach bali,Bali
Lim C. H.,5.8,05 Jan 2019,"Bathroom is stinky, aircon is not cold..",wyndham garden kuta beach bali,Bali
LIE Y. I.,6.2,03 Jan 2019,"1. The hotel charged us for room fee, while it was already paid. After reconfirm, it was cleared. 2. We got a room only, while we book for a room and breakfast. After reconfirm at the receptionist, it was cleared. 3. At breakfast time, the F&B crew said that our room was not listed as room and BF. Again, after reconfirming, it was cleared.",wyndham garden kuta beach bali,Bali
Mohammad C.,9.4,25 Dec 2018,It was comfy and the price was great!,wyndham garden kuta beach bali,Bali
Ernila R.,10,20 Dec 2018,,wyndham garden kuta beach bali,Bali
Reny I.,6.2,Profil ini privat.,bathroom looking old and not clean.. and because of the hotel being renovated so the situation really makes not comfortable.. but the bed room was nice.. they have really nice cafe near lobby,wyndham garden kuta beach bali,Bali
Jimmy f.,8.5,11 Jan 2019,,wyndham garden kuta beach bali,Bali
Elvira R. I. M.,6.5,Profil ini privat.,"Doesn’t feel like 4 star hotel, slow response staff, disappointing room.",wyndham garden kuta beach bali,Bali
Lupita A.,8.5,07 Jan 2019,,wyndham garden kuta beach bali,Bali
Andrew S.,8.5,07 Jan 2019,Good service from hotel staff.,wyndham garden kuta beach bali,Bali
Lim C. H.,5.8,05 Jan 2019,"Bathroom is stinky, aircon is not cold..",wyndham garden kuta beach bali,Bali
LIE Y. I.,6.2,03 Jan 2019,"1. The hotel charged us for room fee, while it was already paid. After reconfirm, it was cleared. 2. We got a room only, while we book for a room and breakfast. After reconfirm at the receptionist, it was cleared. 3. At breakfast time, the F&B crew said that our room was not listed as room and BF. Again, after reconfirming, it was cleared.",wyndham garden kuta beach bali,Bali
Mohammad C.,9.4,25 Dec 2018,It was comfy and the price was great!,wyndham garden kuta beach bali,Bali
Ernila R.,10,20 Dec 2018,,wyndham garden kuta beach bali,Bali
Reny I.,6.2,Profil ini privat.,bathroom looking old and not clean.. and because of the hotel being renovated so the situation really makes not comfortable.. but the bed room was nice.. they have really nice cafe near lobby,wyndham garden kuta beach bali,Bali
chaterine,6.1,05 Nov 2018,The room is dirty the service also not responsive,wyndham garden kuta beach bali,Bali
Syarief S. T.,5.8,Profil ini privat.,"The staff was not good, i asked for extra pillow and they said yes but they didn’t deliver to our room, the floor was very dirty, feels like at the beach, and the toilet is smells very stinky. Doesn’t look like 4-star hotel.. Disappointing",wyndham garden kuta beach bali,Bali
Tan C. H.,8.8,18 Oct 2018,Location is great but the maintenance for the hotel need improvement. Especially on the bathroom and elevator,wyndham garden kuta beach bali,Bali
Astri A. W.,6,16 Oct 2018,"I mean the service is great, the hotel is clean, so from that perspective is okay. It's also right across Kuta beach. I just don't think that they are fully honest about the location.. So the hotel apparently has two building, and there is some construction going on in the area. Anyway, the Wyndham Garden is the one at the back, behind a couple surfing hostels (which I'd rather choose knowing the location). The swimming pool is different and near construction site.",wyndham garden kuta beach bali,Bali
Stefany,6,Profil ini privat.,"Perfect location. Rude staffs, the bedroom could be better. There is renovation going in the hotel area.",wyndham garden kuta beach bali,Bali
Antony K.,6.1,26 Sep 2018,Dirty and doesn't seem like a four star hotel,wyndham garden kuta beach bali,Bali
Irma M.,4.8,03 Aug 2018,"Worst experience ever. Dirty room, broken shower and slow response staff.",wyndham garden kuta beach bali,Bali
wenas k.,5.8,30 Jul 2018,"Very bad service respond, when there are problems, no quick respond at all",wyndham garden kuta beach bali,Bali
yustina o. s.,9.7,08 Jul 2018,,wyndham garden kuta beach bali,Bali
chaterine,6.1,05 Nov 2018,The room is dirty the service also not responsive,wyndham garden kuta beach bali,Bali
Syarief S. T.,5.8,Profil ini privat.,"The staff was not good, i asked for extra pillow and they said yes but they didn’t deliver to our room, the floor was very dirty, feels like at the beach, and the toilet is smells very stinky. Doesn’t look like 4-star hotel.. Disappointing",wyndham garden kuta beach bali,Bali
Tan C. H.,8.8,18 Oct 2018,Location is great but the maintenance for the hotel need improvement. Especially on the bathroom and elevator,wyndham garden kuta beach bali,Bali
